Geneid	C45_22_2L_1Aligned.out.bam	C45_22_2L_2Aligned.out.bam	C45_22_2L_3Aligned.out.bam	WT_2g_5Aligned.out.bam	WT_2g_6Aligned.out.bam	WT_2g_7Aligned.out.bam
CopciAB_528397.T0	3351	3800	3536	4454	6211	2987
CopciAB_1001644.T0	0	0	0	0	0	0
CopciAB_1002249.T0	0	0	0	0	0	0
CopciAB_1002251.T0	9	1	0	57	114	39
CopciAB_468740.T0	0	0	0	0	0	0
CopciAB_1002255.T0	0	0	0	0	0	0
CopciAB_468741.T0	0	0	0	0	0	0
CopciAB_502967.T0	0	3	1	0	0	0
CopciAB_461397.T0	0	0	0	0	0	0
CopciAB_1002257.T0	0	0	0	0	0	0
CopciAB_1002619.T0	0	0	0	0	0	0
CopciAB_481974.T0	15	18	4	15	13	5
CopciAB_481975.T0	27	31	14	15	12	5
CopciAB_1002261.T0	170	117	56	201	207	83
CopciAB_442161.T0	32	54	57	55	70	46
CopciAB_1002262.T0	1	3	0	5	7	0
CopciAB_376977.T0	0	0	0	3	1	0
CopciAB_516061.T0	21	54	29	13	19	8
CopciAB_1002264.T0	0	0	0	0	0	0
CopciAB_496707.T0	0	0	0	3	1	2
CopciAB_470006.T0	0	0	0	0	1	0
CopciAB_541222.T0	2	2	3	10	0	2
CopciAB_1002270.T0	7	11	1	7	7	2
CopciAB_477667.T0	85	107	120	88	221	95
CopciAB_1002272.T0	10	11	5	19	5	6
CopciAB_375308.T0	10	4	5	14	9	8
CopciAB_1002274.T0	3	3	8	18	6	9
CopciAB_371135.T0	388	363	334	493	336	252
CopciAB_1002281.T0	237	279	232	349	526	139
CopciAB_1002283.T0	1	7	0	4	1	2
CopciAB_383312.T0	0	0	0	0	0	0
CopciAB_1002290.T0	0	0	0	0	0	0
CopciAB_381297.T0	0	0	0	0	0	0
CopciAB_503069.T0	0	0	0	0	0	0
CopciAB_504058.T0	0	0	0	0	0	0
CopciAB_1002299.T0	0	0	0	0	0	0
CopciAB_504059.T0	0	0	0	0	0	0
CopciAB_1002298.T0	0	0	0	0	0	0
CopciAB_1002303.T0	6	12	4	11	7	8
CopciAB_408364.T0	16	21	18	10	32	6
CopciAB_1002306.T0	0	0	0	0	0	0
CopciAB_502519.T0	0	0	0	0	0	0
CopciAB_379923.T0	0	2	3	0	0	0
CopciAB_1002308.T0	0	0	0	0	0	0
CopciAB_163332.T0	35	43	39	62	61	53
CopciAB_458097.T0	22	50	37	56	26	72
CopciAB_383126.T0	0	0	0	0	0	0
CopciAB_383128.T0	0	0	0	0	0	0
CopciAB_1002312.T0	0	0	0	0	1	3
CopciAB_1002314.T0	0	0	0	0	0	0
CopciAB_382717.T0	101	129	72	108	114	103
CopciAB_1002317.T0	1	1	1	0	0	0
CopciAB_381561.T0	2599	2509	1967	3481	2977	1558
CopciAB_348205.T0	4	0	2	0	2	4
CopciAB_543926.T0	7057	7458	6405	62126	50851	49562
CopciAB_334211.T0	1	4	4	1	0	0
CopciAB_460913.T0	0	0	0	0	0	0
CopciAB_1000978.T0	0	0	0	0	0	0
CopciAB_1002323.T0	0	0	0	0	0	0
CopciAB_382290.T0	0	0	0	0	0	0
CopciAB_503195.T0	0	0	0	0	0	0
CopciAB_381607.T0	0	0	0	0	0	0
CopciAB_383230.T0	0	0	0	0	0	0
CopciAB_383227.T0	0	0	0	0	0	0
CopciAB_483679.T0	9	7	0	13	1	4
CopciAB_1002333.T0	1	2	0	0	1	0
CopciAB_1002334.T0	22	12	16	25	20	13
CopciAB_1002335.T0	0	1	0	0	0	0
CopciAB_1002340.T0	51	87	54	42	24	29
CopciAB_481269.T0	88	136	86	78	90	56
CopciAB_440317.T0	99	88	79	124	60	85
CopciAB_365244.T0	0	0	1	1	0	2
CopciAB_470089.T0	0	0	0	0	0	0
CopciAB_1002346.T0	11	12	14	28	5	13
CopciAB_1002347.T0	1	6	11	5	4	10
CopciAB_1002350.T0	0	0	0	0	0	0
CopciAB_1002359.T0	0	0	0	0	0	0
CopciAB_258718.T0	1555	1794	1248	1848	1210	700
CopciAB_1002374.T0	3	9	10	40	14	25
CopciAB_465400.T0	32	21	11	31	11	7
CopciAB_1002375.T0	15	27	33	16	18	11
CopciAB_354710.T0	408	475	326	402	435	283
CopciAB_1002378.T0	10	6	8	15	10	4
CopciAB_1002379.T0	19	12	1	20	26	1
CopciAB_1002381.T0	0	0	0	0	0	0
CopciAB_1002383.T0	0	0	0	1	3	3
CopciAB_1002384.T0	5	8	12	6	4	4
CopciAB_173716.T0	739	666	663	858	818	303
CopciAB_1002389.T0	0	0	0	0	0	0
CopciAB_1002391.T0	16	17	5	4	11	0
CopciAB_441650.T0	78	59	34	53	49	53
CopciAB_1002397.T0	41	30	22	31	19	6
CopciAB_436727.T0	10	13	18	16	7	9
CopciAB_1002406.T0	10	13	18	16	7	9
CopciAB_1002410.T0	78	94	122	131	18	65
CopciAB_378495.T0	4	0	0	0	0	0
CopciAB_501934.T0	0	0	0	0	0	0
CopciAB_503890.T0	0	0	0	0	0	0
CopciAB_1002412.T0	3	3	0	0	0	1
CopciAB_546523.T0	21	23	15	54	24	35
CopciAB_1002414.T0	23	68	46	20	21	59
CopciAB_443382.T0	250	499	245	509	365	448
CopciAB_1002415.T0	1783	1929	1199	3144	2654	1174
CopciAB_434032.T0	7	8	1	3	3	2
CopciAB_467457.T0	0	0	0	0	0	0
CopciAB_467455.T0	0	0	0	0	0	0
CopciAB_1000023.T0	0	0	0	0	0	0
CopciAB_1001765.T0	0	0	0	0	0	0
CopciAB_1002417.T0	0	0	0	0	0	0
CopciAB_381770.T0	0	0	0	0	0	0
CopciAB_380658.T0	0	0	0	0	0	0
CopciAB_502814.T0	0	0	0	0	0	0
